"","date","pm10_max"
"266",2018-07-03,109
"267",2018-07-04,150
"268",2018-07-05,94
"269",2018-07-06,100
"270",2018-07-07,74
"271",2018-07-08,62
"272",2018-07-09,112
"273",2018-07-10,65
"274",2018-07-11,107
"275",2018-07-12,101
"276",2018-07-13,105
"277",2018-07-14,87
"278",2018-07-15,121
"279",2018-07-16,169
"280",2018-07-17,109
"281",2018-07-18,116
"282",2018-07-19,157
"283",2018-07-20,127
"284",2018-07-21,121
"285",2018-07-22,126
"286",2018-07-23,194
"287",2018-07-24,155
"288",2018-07-25,144
"289",2018-07-26,195
"290",2018-07-27,143
"291",2018-07-28,91
"292",2018-07-29,126
"293",2018-07-30,148
"294",2018-07-31,138
"295",2018-08-01,139
"296",2018-08-02,89
"297",2018-08-03,73
"298",2018-08-04,77
"299",2018-08-05,48
"300",2018-08-06,61
"301",2018-08-07,91
"302",2018-08-08,92
"303",2018-08-09,123
"304",2018-08-10,147
"305",2018-08-11,95
"306",2018-08-12,69
"307",2018-08-13,124
"308",2018-08-14,124
"309",2018-08-15,101
"310",2018-08-16,107
"311",2018-08-17,93
"312",2018-08-18,75
"313",2018-08-19,93
"314",2018-08-20,98
"315",2018-08-21,66
"316",2018-08-22,86
"317",2018-08-23,102
"318",2018-08-24,109
"319",2018-08-25,117
"320",2018-08-26,70
"321",2018-08-27,87
"322",2018-08-28,95
"323",2018-08-29,95
"324",2018-08-30,122
"325",2018-08-31,107
"326",2018-09-01,77
"327",2018-09-02,88
"328",2018-09-03,111
"329",2018-09-04,134
"330",2018-09-05,118
"331",2018-09-06,79
"332",2018-09-07,92
"333",2018-09-08,140
"334",2018-09-09,107
"335",2018-09-10,101
"336",2018-09-11,134
"337",2018-09-12,232
"338",2018-09-13,97
"339",2018-09-14,165
"340",2018-09-15,127
"341",2018-09-16,112
"342",2018-09-17,102
"343",2018-09-18,137
"344",2018-09-19,109
"345",2018-09-20,138
"346",2018-09-21,200
"347",2018-09-22,88
"348",2018-09-23,70
"349",2018-09-24,105
"350",2018-09-25,97
"351",2018-09-26,106
"352",2018-09-27,118
"353",2018-09-28,109
"354",2018-09-29,161
"355",2018-09-30,93
"356",2018-10-01,96
"357",2018-10-02,104
"358",2018-10-03,87
"359",2018-10-04,84
"360",2018-10-05,124
"361",2018-10-06,130
"362",2018-10-07,96
"363",2018-10-08,200
"364",2018-10-09,136
"365",2018-10-10,127
"366",2018-10-11,92
"367",2018-10-12,100
"368",2018-10-13,116
"369",2018-10-14,89
"370",2018-10-15,99
"371",2018-10-16,118
"372",2018-10-17,72
"373",2018-10-18,53
"374",2018-10-19,95
"375",2018-10-20,59
"376",2018-10-21,46
"377",2018-10-22,116
"378",2018-10-23,178
"379",2018-10-24,248
"380",2018-10-25,234
"381",2018-10-26,175
"382",2018-10-27,106
"383",2018-10-28,66
"384",2018-10-29,102
"385",2018-10-30,87
"386",2018-10-31,123
"387",2018-11-01,170
"388",2018-11-02,73
"389",2018-11-03,69
"390",2018-11-04,61
"391",2018-11-05,195
"392",2018-11-06,229
"393",2018-11-07,237
"394",2018-11-08,270
"395",2018-11-09,241
"396",2018-11-10,118
"397",2018-11-11,116
"398",2018-11-12,190
"399",2018-11-13,159
"400",2018-11-14,114
"401",2018-11-15,154
"402",2018-11-16,253
"403",2018-11-17,191
"404",2018-11-18,173
"405",2018-11-19,160
"406",2018-11-20,321
"407",2018-11-21,253
"408",2018-11-22,281
"409",2018-11-23,247
"410",2018-11-24,327
"411",2018-11-25,150
"412",2018-11-26,161
"413",2018-11-27,189
"414",2018-11-28,137
"415",2018-11-29,68
"416",2018-11-30,90
"417",2018-12-01,146
"418",2018-12-02,117
"419",2018-12-03,226
"420",2018-12-04,174
"421",2018-12-05,122
"422",2018-12-06,180
"423",2018-12-07,197
"424",2018-12-08,378
"425",2018-12-09,164
"426",2018-12-10,133
"427",2018-12-11,178
"428",2018-12-12,222
"429",2018-12-13,146
