date,Trafico,,,,,
10/11/2017,23.21687768,,,,,
10/12/2017,20.35182192,,,,,
10/13/2017,22.79488251,,,,,
10/14/2017,20.07736884,,,,,
10/15/2017,17.8141935,,,,,
10/16/2017,19.02229811,,,,,
10/17/2017,21.59355954,,,,,
10/18/2017,23.73466265,,,,,
10/19/2017,27.341276,,,,,
10/20/2017,33.10113137,,,,,
10/21/2017,44.21708355,,,,,
10/22/2017,48.52603267,,,,,
10/23/2017,35.1973953,,,,,
10/24/2017,31.21687291,,,,,
10/25/2017,22.22077574,,,,,
10/26/2017,28.06699129,,,,,
10/27/2017,42.32315944,,,,,
10/28/2017,17.88999339,,,,,
10/29/2017,34.55992727,,,,,
10/30/2017,38.64762081,,,,,
10/31/2017,36.26470185,,,,,
11/1/2017,23.63390586,,,,,
11/2/2017,26.42828053,,,,,
11/3/2017,44.42825569,,,,,
11/4/2017,32.31911291,,,,,
11/5/2017,27.59817108,,,,,
11/6/2017,43.99874825,,,,,
11/7/2017,46.24436579,,,,,
11/8/2017,50.74344505,,,,,
11/9/2017,39.27783337,,,,,
11/10/2017,41.5011535,,,,,
11/11/2017,28.90856745,,,,,
11/12/2017,37.5339619,,,,,
11/13/2017,26.44645494,,,,,
11/14/2017,28.81014607,,,,,
11/15/2017,34.3922259,,,,,
11/16/2017,41.75802852,,,,,
11/17/2017,46.1844509,,,,,
11/18/2017,50.17988384,,,,,
11/19/2017,36.7605256,,,,,
11/20/2017,21.15540293,,,,,
11/21/2017,42.7328743,,,,,
11/22/2017,40.13712745,,,,,
11/23/2017,38.56154247,,,,,
11/24/2017,46.34589319,,,,,
11/25/2017,40.01524475,,,,,
11/26/2017,28.89614324,,,,,
11/27/2017,45.60025678,,,,,
11/28/2017,41.64716045,,,,,
11/29/2017,41.76813306,,,,,
11/30/2017,48.08117045,,,,,
12/1/2017,32.44644015,,,,,
12/2/2017,43.22158242,,,,,
12/3/2017,36.61982403,,,,,
12/4/2017,41.95941938,,,,,
12/5/2017,52.36920365,,,,,
12/6/2017,44.9384393,,,,,
12/7/2017,48.06144884,,,,,
12/8/2017,51.55294162,,,,,
12/9/2017,31.70165269,,,,,
12/10/2017,31.45561838,,,,,
12/11/2017,40.28725882,,,,,
12/12/2017,45.06850971,,,,,
12/13/2017,44.05788584,,,,,
12/14/2017,47.86130321,,,,,
12/15/2017,46.26345826,,,,,
12/16/2017,54.68323005,,,,,
12/17/2017,32.74779034,,,,,
12/18/2017,43.34837381,,,,,
12/19/2017,57.15653168,,,,,
12/20/2017,40.589467,,,,,
12/21/2017,50.87999213,,,,,
12/22/2017,61.68070161,,,,,
12/23/2017,59.77201067,,,,,
12/24/2017,45.62061783,,,,,
12/25/2017,44.06912782,,,,,
12/26/2017,44.25522874,,,,,
12/27/2017,46.75402361,,,,,
12/28/2017,48.32969366,,,,,
12/29/2017,42.87323582,,,,,
12/30/2017,24.20670578,,,,,
12/31/2017,34.93821248,,,,,
1/1/2018,40.06295109,,,,,
1/2/2018,44.73481922,,,,,
1/3/2018,59.988761,,,,,
1/4/2018,49.67642635,,,,,
1/5/2018,42.47594147,,,,,
1/6/2018,54.92689083,,,,,
1/7/2018,46.83638724,,,,,
1/8/2018,61.23648949,,,,,
1/9/2018,48.69138589,,,,,
1/10/2018,57.51731238,,,,,
1/11/2018,49.39338292,,,,,
1/12/2018,38.94434346,,,,,
1/13/2018,40.64285488,,,,,
1/14/2018,21.09965565,,,,,
1/15/2018,53.73278244,,,,,
1/16/2018,50.95166597,,,,,
1/17/2018,51.60781592,,,,,
1/18/2018,39.95345522,,,,,
1/19/2018,50.96804982,,,,,
1/20/2018,44.53143631,,,,,
1/21/2018,30.05637473,,,,,
1/22/2018,57.43337092,,,,,
1/23/2018,44.30130571,,,,,
1/24/2018,27.69132752,,,,,
1/25/2018,10.76192033,,,,,
1/26/2018,44.11973792,,,,,
1/27/2018,28.07113898,,,,,
1/28/2018,15.0848464,,,,,
1/29/2018,31.5639708,,,,,
1/30/2018,11.01470406,,,,,
1/31/2018,43.23302363,,,,,
2/1/2018,51.946844,,,,,
2/2/2018,47.53892242,,,,,
2/3/2018,39.89484151,,,,,
2/4/2018,32.78085089,,,,,
2/5/2018,34.98324775,,,,,
2/6/2018,28.13546458,,,,,
2/7/2018,38.69275321,,,,,
2/8/2018,32.3294816,,,,,
2/9/2018,23.66232227,,,,,
2/10/2018,24.64571185,,,,,
2/11/2018,27.40251507,,,,,
2/12/2018,28.05310182,,,,,
2/13/2018,43.68913314,,,,,
2/14/2018,34.30925883,,,,,
2/15/2018,26.33295276,,,,,
2/16/2018,37.80365233,,,,,
2/17/2018,46.41464436,,,,,
2/18/2018,26.35774468,,,,,
2/19/2018,41.15667585,,,,,
2/20/2018,32.86438876,,,,,
2/21/2018,41.27398004,,,,,
2/22/2018,25.09660443,,,,,
2/23/2018,30.68799117,,,,,
2/24/2018,33.72006628,,,,,
2/25/2018,21.49606793,,,,,
2/26/2018,50.83361702,,,,,
2/27/2018,22.73022872,,,,,
2/28/2018,35.71521218,,,,,
3/1/2018,53.51581094,,,,,
3/2/2018,44.2625489,,,,,
3/3/2018,26.86292303,,,,,
3/4/2018,19.21350461,,,,,
3/5/2018,44.50707824,,,,,
3/6/2018,47.9159271,,,,,
3/7/2018,49.42906318,,,,,
3/8/2018,68.49590842,,,,,
3/9/2018,41.28068127,,,,,
3/10/2018,40.2466046,,,,,
3/11/2018,48.74498823,,,,,
3/12/2018,33.65249616,,,,,
3/13/2018,23.54620797,,,,,
3/14/2018,25.66699537,,,,,
3/15/2018,33.86101353,,,,,
3/16/2018,43.08331837,,,,,
3/17/2018,32.11239953,,,,,
3/18/2018,37.28886716,,,,,
3/19/2018,26.70874787,,,,,
3/20/2018,56.16253769,,,,,
3/21/2018,22.56266335,,,,,
3/22/2018,23.54589977,,,,,
3/23/2018,23.79375729,,,,,
3/24/2018,27.42834827,,,,,
3/25/2018,26.89818789,,,,,
3/26/2018,36.37313213,,,,,
3/27/2018,30.18731142,,,,,
3/28/2018,32.86139454,,,,,
3/29/2018,66.28145307,,,,,
3/30/2018,31.51231176,,,,,
3/31/2018,24.12864802,,,,,
4/1/2018,30.25057894,,,,,
